RQ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2019/1/1,76648.23926,74919.53418,74102.28955,73360.31787,73349.10498,74107.52637,75219.73633,76171.33008,79213.73828,80240.32764,80650.36816,80730.08398,79858.896,79297.56934,78940.00488,80149.76074,82332.10547,84251.9668,84902.53418,84733.1211,83423.71191,81432.76318,79119.65918,76818.65137
2019/1/2,75073.08691,73524.84815,73138.75635,72893.2583,73179.56934,74692.72754,77830.21582,78693.3916,82897.95703,83642.63867,84243.28027,84335.05566,83108.39356,82692.30859,82321.15918,82649.05469,84969.03125,86635.53516,86713.6543,86359.41504,85043.57324,82932.20606,80292.43604,78063.31348
2019/1/3,76057.81299,74862.93115,74427.87451,73862.94287,74303.62402,75830.76074,78819.31445,80637.12012,84025.05664,85343.96777,85314.01123,85241.5669,83848.43213,83419.15723,83117.22168,83643.01855,85714.78223,87048.3623,87065.7168,86978.18457,85746.76465,83346.46582,80962.98535,78441.60449
2019/1/4,76828.83936,75497.63525,74713.94141,74857.36231,74623.02783,75736.92676,78563.9209,79854.74317,83105.47656,84178.33789,84608.96973,84265.82031,83139.02735,82466.85644,82029.81152,82224.55371,84376.03223,85775.7793,86341.375,85811.79785,85220.69629,82974.28076,80697.44434,78384.14551
2019/1/5,76555.94922,75309.22168,74523.68066,73931.13184,74467.12842,74894.75391,76240.70508,77163.65527,80279.05859,81525.53174,82130.48975,81458.53711,80458.57715,79776.84229,79643.61914,80120.66309,82706.6709,84465.87207,85195.00098,84556.50098,83478.2876,81607.63184,79477.48438,77385.0127
2019/1/6,75644.19824,74424.27246,73725.44141,73358.80664,73387.38086,74076.42285,75699.00586,76282.78613,79396.55615,81365.00733,82088.25391,82106.5498,81202.81543,80509.8335,80171.59277,80616.67969,82921.49219,84603.29102,84986.25293,84646.43359,83622.44678,81467.9668,79264.87988,76826.59961
2019/1/7,75310.95996,74091.57275,73417.14355,73201.64844,73431.86768,74728.56543,77963.89648,78871.55957,82630.75977,82651.65137,82696.22656,82536.63721,81711.58301,80233.18262,80327.0708,80840.2334,82982.65918,84123.91602,84930.54004,85005.33496,83692.08496,82022.59814,79806.86035,77349.0625
2019/1/8,75856.33789,74738.78809,74291.95459,74067.25635,74119.89648,75623.25586,78148.22656,79161.75781,82069.45801,82585.11426,83097.69043,82775.37402,82347.45752,81239.62305,81353.65772,81857.37744,83644.79199,85203.13233,85391.375,84949.3877,83726.86035,81505.80859,79449.17041,76992.52832
2019/1/9,75517.09473,74292.91602,73647.2041,73244.62354,73514.76074,74719.77734,77287.54687,78893.60938,82225.79102,83174.85596,83661.14307,83369.30615,82685.59863,82244.02686,82342.81836,82720.29492,84878.10059,85115.17529,85796.7041,85582.26563,84493.90186,81895.8794,79502.37988,77338.75977
2019/1/10,75225.27979,73848.3833,73303.0918,73257.98584,73105.50195,74276.02393,76877.98242,78415.17481,81698.15625,82823.26172,83320.21728,83239.15234,82329.76807,82066.33399,81960.71191,82259.05078,83942.89063,84873.13965,85209.40137,85111.82031,84085.20215,81833.24463,79702.31836,77172.64209
2019/1/11,75484.43018,74237.24561,73651.66211,73364.87646,73481.16895,74659.98633,77211.92188,78825.29102,81838.7666,82492.77246,82658.02637,82050.82324,81344.51465,80436.17774,80181.93604,80228.75684,82758.62939,83793.03809,84874.19531,84638.20801,83758.85938,81625.81152,79542.24854,77039.05518
2019/1/12,75242.4668,73928.00488,73213.83203,72701.30811,72786.16992,74102.89307,75880.78516,76978.85645,80441.29736,81193.36035,81422.22998,80930.79981,80530.02344,79897.56445,79362.74805,79650.14648,82276.08496,83783.1499,84492.80274,84977.48242,84090.42187,81875.25879,79610.76758,77333.03662
